,TrainSize,MDD,APY,ASR,Performance
0,10.0,-0.27719592311750574,0.6647727780205326,0.02766540361476107,0.4152422585177879
1,20.0,-0.25515105482047995,0.5470229902413986,0.022451355373441652,0.31432329079436017
2,30.0,-0.2895836253981642,0.6724845685638421,0.02800688743972718,0.4109078306054051
3,40.0,-0.2492139642070652,0.5999386308693573,0.024794499324342172,0.37551916598663426
4,50.0,-0.27395407339895467,0.6389629541369545,0.026522525403537816,0.39153140614153764
5,60.0,-0.31241637150135004,0.6322394554401336,0.026224803877097115,0.3460478878158807
6,70.0,-0.28748506357850123,0.6501929307699784,0.027019797127061485,0.38972766431853867
7,80.0,-0.28216808249158276,0.6520321456804177,0.02710123893218111,0.39696530212101605
8,90.0,-0.303790145048887,0.5943120336362063,0.024545349411111313,0.3150672379984305
9,100.0,-0.326577358751464,0.6440458531644617,0.026747599955560697,0.34421609436855843
10,110.0,-0.30090786576180706,0.719678154907155,0.030096654568110164,0.44886694371345826
11,120.0,-0.299862534789421,0.8058724293190578,0.0339134011914856,0.5399232957211223
12,130.0,-0.26052993454261253,0.6569554776735258,0.02731924773715872,0.42374479086807215
13,140.0,-0.28876321338492905,0.7483882534221155,0.03136795909861874,0.4909929991358052
14,150.0,-0.2894662074088818,0.7033693063899168,0.029374486617465934,0.44327758559850083
15,160.0,-0.3067472189841166,0.664815854031145,0.027667311052571465,0.38573594609959966
16,170.0,-0.2700282962287344,0.6974559295197876,0.029112637888466186,0.4565402711795194
17,180.0,-0.2639484802015882,0.7284127975096599,0.03048343104354271,0.49494774835161437
18,190.0,-0.25170395474351387,0.723129888659716,0.030249499907719617,0.5016754338239218
