,Returns
0,1.0
1,0.9848876092713504
2,0.9821580849462073
3,0.976435915529272
4,0.9745331565888778
5,1.0057058726033756
6,1.0139106260666064
7,1.023688187325081
8,1.0273218053953819
9,1.0500251207533937
10,1.0544702927930854
11,1.0567644478233178
12,1.0229637531747289
13,1.0353365063488313
14,1.0427186318670385
15,1.0274657117339903
16,1.0508379258720166
17,1.058721095391501
18,1.0695296374006327
19,1.0648524945208706
20,1.054540978112167
21,1.045758334437445
22,1.0467757391821397
23,1.063929740476674
24,1.0600438480873264
25,1.0794557232583488
26,1.0811342652621632
27,1.0773543435659505
28,1.0830213610151789
29,1.0708137473342831
30,1.0422448792182528
31,1.039816108885336
32,1.0357281082491117
33,1.0375223172548425
34,1.050075454025157
35,1.0510242732075303
36,1.0367207292153555
37,1.0406018081303232
38,1.031179495300908
39,1.012305102908786
40,1.0218233177077372
41,1.0103504279287936
42,1.0244372555099075
43,1.0064334246993845
44,1.004178669717722
45,1.0363395686850905
46,1.0509316191384868
47,1.0637945299292515
48,1.0521083867341054
49,1.0617442932906553
50,1.0676963400974835
51,1.0668576019868354
52,1.0857524092740525
53,1.0928232477555127
54,1.0958946816165178
55,1.096214682723119
56,1.0976684839818391
57,1.1160926458119045
58,1.1168644075900425
59,1.1061241193385818
60,1.1039604117143482
61,1.1313716641371852
62,1.1269249185447219
63,1.1333876656088684
64,1.1322333942794336
65,1.1241116994719222
66,1.1230271098314664
67,1.114336860484419
68,1.136816309102508
69,1.1247497735419936
70,1.1257589738981963
71,1.1283997740678904
72,1.1282415203229041
73,1.135697924529238
74,1.141967582684852
75,1.141234529766558
76,1.1592857594912245
77,1.1604132617010698
78,1.142827325887253
79,1.1536300790505092
80,1.157330556414147
81,1.1727114136363594
82,1.180051051656839
83,1.1823144100913177
84,1.1888311956293536
85,1.188411115830886
86,1.192369052263666
87,1.1881066198087957
88,1.1988815887137505
89,1.2054345869424197
90,1.2254115258576583
91,1.226444257271199
92,1.2295676251131176
93,1.2254606110255264
94,1.233239897769833
95,1.223411697230322
96,1.2153535785675966
97,1.2101807642859455
98,1.192333813605886
99,1.1991947021349783
100,1.2165649592769572
101,1.2193948372358572
102,1.2394345024022237
103,1.2242584639933771
104,1.2455106577517232
105,1.2412995189480671
106,1.236152351410543
107,1.2238071943737725
108,1.2513658520224356
109,1.2631210725886768
110,1.2654514595032884
111,1.2653561011989456
112,1.2647952269931961
113,1.271630884349947
114,1.2769613209394637
115,1.283132551608821
116,1.276659828753761
117,1.276183398751508
118,1.2707507412892107
119,1.2844042975562837
120,1.2902155252620129
121,1.2934469900076857
122,1.303840721976534
123,1.306033964862725
124,1.2973981297507726
125,1.2937280717621733
126,1.2918086434895175
127,1.294260222939683
128,1.2927384473761678
129,1.2851557724702092
130,1.303549262144565
131,1.303633876486892
132,1.3167156890466756
133,1.3251478873486333
134,1.3248035201274122
135,1.3284150270827917
136,1.3301340488521882
137,1.3432057870530492
138,1.345930179646164
139,1.3625635906337776
140,1.3687726523885355
141,1.3467096186657934
142,1.3410243075419792
143,1.3385974254106217
144,1.3578106732667863
145,1.3608067116363383
146,1.3671953274206732
147,1.3831824639585215
148,1.3503891765032083
149,1.354342938351486
150,1.3774229866050112
151,1.380016300929741
152,1.379611684975776
153,1.3898844832601205
154,1.389472332758752
155,1.3973882312360977
156,1.3942679761857022
157,1.3970277700752716
158,1.408644837106178
159,1.421734277102453
160,1.4146602110202942
161,1.424833458049797
162,1.432060947289226
163,1.4354083709728909
164,1.3919013359523242
165,1.3638554232248365
166,1.3841147435481536
167,1.4062366185777246
168,1.4038047679554828
169,1.3829827756555828
170,1.3883955941152748
171,1.4149226649325637
172,1.4130108167133875
173,1.3955962328746572
174,1.3982768249831623
175,1.3871901500591115
176,1.3666117703002536
177,1.3709598355072048
178,1.3643940370341239
179,1.3528967573081234
180,1.3271043241243765
181,1.3382422282077169
182,1.3404394505516288
183,1.3640495090228875
184,1.3621642911314078
185,1.3737290282262522
186,1.4038105951991893
187,1.4018698819240647
188,1.403779534933331
189,1.4191909999903074
190,1.4295462467655358
191,1.4365547495614477
192,1.4431063170672318
193,1.438848761794875
194,1.4386689263214665
195,1.4437207091472906
196,1.4409433569645822
197,1.4326707372196212
198,1.4326502511904249
199,1.419907263384452
200,1.428523671050632
201,1.4308073652205664
202,1.4345822481697779
203,1.4199560373012257
204,1.4282196866855568
205,1.4608384311549214
206,1.4726104777177
207,1.4726438797566428
208,1.4814690652014173
209,1.5128649338829452
210,1.5104999927779865
211,1.4937423742348497
212,1.4983744413815507
213,1.4869162987675035
214,1.476711196373225
215,1.4711666004262274
216,1.481747187771076
217,1.493782581829662
218,1.5073845635010812
219,1.495723427054165
220,1.5101486597354763
221,1.4916519780433535
222,1.4702436808519586
223,1.4690742132708499
224,1.4919274087564827
