,Returns
0,1.0
1,0.999299017287778
2,1.00367926719559
3,1.0039619278310414
4,0.9998673693003316
5,1.006029860670406
6,1.0123999764371212
7,1.0143431138969685
8,1.0136823209108776
9,1.0136423469302036
10,1.0128690985553286
11,1.0187217282372119
12,1.0187370693413926
13,1.0205386154645038
14,1.025535475544617
15,1.038016231051991
16,1.047810060838861
17,1.0452512006067238
18,1.0481942954798338
19,1.045818731873883
20,1.0442836367905282
21,1.0540188760979405
22,1.043041329572242
23,1.0559433178437858
24,1.0581392780728927
25,1.054601337019089
26,1.0598239112510832
27,1.057400324909441
28,1.0567628881625382
29,1.0601038147374868
30,1.0632700183743007
31,1.0650978121492376
32,1.0744610052492902
33,1.0612046530847872
34,1.0535997699026847
35,1.0592024928737833
36,1.0420177970730742
37,1.0486011342652257
38,1.0599792202697662
39,1.0614092369889687
40,1.0667639880297262
41,1.0725207368429635
42,1.0825001570680393
43,1.084175800498844
44,1.0866539126432693
45,1.0892738664830448
46,1.0912924255103036
47,1.0888003693820496
48,1.0911140884558004
49,1.09131733167741
50,1.084345862074361
51,1.0785610347326093
52,1.076487631118781
53,1.0845615278789988
54,1.0769876014644562
55,1.0870104482494838
56,1.084937315082738
57,1.0970342524240146
58,1.0967809101434765
59,1.101007290454833
60,1.0995161935931412
61,1.1069306593156016
62,1.095509007817984
63,1.1002217700570363
64,1.0929021746965881
65,1.0993407039369352
66,1.1031882419167136
67,1.1179496263450088
68,1.123983367655662
69,1.1222942807811622
70,1.102332414637849
71,1.11984935428252
72,1.1052796742432205
73,1.0936922730837741
74,1.1069980941688942
75,1.11597732457653
76,1.1378624617392235
77,1.135900811999701
78,1.1391991135990407
79,1.1378570599379791
80,1.1460266329313025
81,1.1479697717722903
82,1.13803833449081
83,1.1482770474510646
84,1.155793591011606
85,1.1591072788034316
86,1.1587979755895106
87,1.1647375824340467
88,1.172620061011909
89,1.1837202944039047
90,1.1928561605089065
91,1.2010736390804704
92,1.2128209979085294
93,1.2117156297744835
94,1.221009198004124
95,1.2169215949440317
96,1.2190812296277131
97,1.2075560781851415
98,1.205797772998868
99,1.2068598551763114
100,1.2179552963641522
101,1.2051635400266545
102,1.214804200867548
103,1.196775003826417
104,1.2001709882248388
105,1.1982218012928068
106,1.1838678858639742
107,1.1911509366590503
108,1.2060250919215814
109,1.2069638125697626
110,1.1904574336386966
111,1.182420778515271
112,1.1984421481645529
113,1.1953892234527665
114,1.2092990529167527
115,1.2179727559651854
116,1.2085145686681937
117,1.1772648678553697
118,1.1821748812332236
119,1.1704505347150573
120,1.179361084979073
121,1.1920795095967833
122,1.2004140286988325
123,1.191370989269937
124,1.204953934632459
125,1.2038492041234832
126,1.204510792873948
127,1.2191997664388432
128,1.2268883489384408
129,1.2379774895292286
130,1.238541304883395
131,1.256072644967618
132,1.265403877514623
133,1.262883445404112
134,1.2497685926457043
135,1.2623667637562086
136,1.2616604486150957
137,1.2601577019873527
138,1.2641038438976635
139,1.261798737357945
140,1.2558975321346486
141,1.2665801279458768
142,1.2701646730276623
143,1.2714390129872233
144,1.2717408468920552
145,1.2727863024584538
146,1.2877100898802527
147,1.2918305249692958
148,1.296749558221001
149,1.2912843310965203
150,1.280996546787076
151,1.29446340053557
152,1.2894290339925034
153,1.2862091320248734
154,1.2864508637909382
155,1.276175203370607
156,1.2565429139088329
157,1.2566350963012207
158,1.256969963639102
159,1.2638519984069536
160,1.2565786923364415
161,1.2686010204063058
162,1.279690097011885
163,1.2767794557000445
164,1.2606747508405778
165,1.2660657902300447
166,1.271420076008362
167,1.2706792733057302
168,1.2766044796537463
169,1.2873725891323298
170,1.2899883800760554
171,1.2877415904921738
172,1.2934400124199417
173,1.3119257347197866
174,1.3147209750586224
175,1.3120667058361313
176,1.3165355197931605
177,1.3204516155657837
178,1.3274655931131005
179,1.3442940791785902
180,1.3484089251853955
181,1.3512879229546388
182,1.3394494674785808
183,1.336054362352567
184,1.3353642310530183
185,1.3427071048613723
186,1.3411524224917395
187,1.3361308410733956
188,1.3475752623170614
189,1.3408576296774481
190,1.3231212590429269
191,1.3365574636276178
192,1.325446066683709
193,1.3008910336754576
194,1.293895477817482
195,1.326297008353224
196,1.3353180745606636
197,1.3474585778278871
198,1.3422085614481158
199,1.3594149000062479
200,1.3695853993062226
201,1.3833364222083095
202,1.3827616553939295
203,1.377907738050431
204,1.3690046455971563
205,1.3775988180379124
206,1.3814737437350506
207,1.3742936628536755
208,1.385514780484483
209,1.372779342497205
210,1.3724689641021999
211,1.3791238118027518
212,1.3888082907730073
213,1.3906686438529208
214,1.381200338624284
215,1.3549985906455018
216,1.373518520017074
217,1.378513290395447
218,1.3718725224860915
219,1.3860995809410306
220,1.3901162876671989
221,1.3968550854091735
222,1.3796931183044847
