,Returns
0,0.9999999999999998
1,0.9720745030562279
2,0.9817440254086996
3,0.9940224314764111
4,0.9867597340750132
5,1.0230817866714736
6,1.0333532818461781
7,1.0328887859565685
8,1.0188849986147075
9,1.0181345427424005
10,1.0037742879779985
11,0.9904314375739552
12,0.9736587395510652
13,0.9749921940655601
14,0.9808471855028873
15,0.9474001154881287
16,0.948015846444992
17,0.9305482456630266
18,0.9339260287040204
19,0.948907674618076
20,0.9204010353095464
21,0.9201063359914236
22,0.9070346148668663
23,0.9119835821639692
24,0.9036734879388085
25,0.901608095627079
26,0.8908127799121642
27,0.906513742215027
28,0.9315873387204825
29,0.939137524229485
30,0.9598940930926653
31,0.9669309630769225
32,0.9500108205411956
33,0.9559479335896929
34,0.9952640813745509
35,1.0055196410338534
36,1.0311913336508167
37,1.0308923051836338
38,1.0431125616527621
39,1.0390935422261922
40,1.018588103136305
41,0.9926598054579019
42,1.0119744667100514
43,1.0300202458527723
44,1.057450458253737
45,1.0544218994245977
46,1.043089057851879
47,1.0309896255428985
48,1.0316624559924885
49,1.0589518397283089
50,1.072882046768635
51,1.0683445761223618
52,1.0578948038456883
53,1.054925964275171
54,1.0166282925283359
55,0.9989896840782749
56,0.9989896840782749
57,1.0209252770664792
58,1.0335296045665914
59,1.0281582461363876
60,1.034594969646321
61,1.0372124636300604
62,1.0710043677015033
63,1.076091636253672
64,1.087626155863859
65,1.0782564214390005
66,1.09552576172354
67,1.0961591446800953
68,1.09434849166982
69,1.066085642172854
70,1.077445740888891
71,1.0896647853868744
72,1.086601821362646
73,1.1031312791038923
74,1.1105050498344142
75,1.0860503418006904
76,1.1083171968251493
77,1.1060418545706203
78,1.1029371466678806
79,1.1154445821512062
80,1.1142543678338646
81,1.1279102829002978
82,1.1603196836683782
83,1.158947027656433
84,1.1382023070057674
85,1.1395034461175115
86,1.1499495206177721
87,1.1398287851313202
88,1.1418605217871276
89,1.1454809663812187
90,1.1388274681432347
91,1.134973522988356
92,1.1255060067160956
93,1.0997338050622416
94,1.104903092058573
95,1.1122027835944341
96,1.0909801340651446
97,1.0852827378532137
98,1.1081460236973393
99,1.1070119880944214
100,1.1178376247299953
101,1.1170323177207626
102,1.111502595417254
103,1.1350424794053395
104,1.1211633440527067
105,1.126930529270947
106,1.107187373414179
107,1.1127993161446708
108,1.119989397320772
109,1.1265555028728658
110,1.1302648593914415
111,1.1359975126632451
112,1.1594376603093426
113,1.1844486808066568
114,1.1805418055220445
115,1.183470290387553
116,1.1956045250431453
117,1.1982928795687542
118,1.197737410914954
119,1.2138157291603346
120,1.2199502333275085
121,1.2207949016018462
122,1.2176074181692815
123,1.207572274238345
124,1.2245707722812982
125,1.2395207604466274
126,1.264236406106558
127,1.2597300703579648
128,1.2629967277881893
129,1.270359628724484
130,1.2742230131338659
131,1.2662146853629248
132,1.2567340415865835
133,1.2753999612063962
134,1.2760298351489365
135,1.2425444244559039
136,1.2527122696279624
137,1.245144762676143
138,1.273770736333556
139,1.2851456796787126
140,1.3127729397870636
141,1.3093032361541406
142,1.3060677224879855
143,1.3046881606678273
144,1.3132389763594903
145,1.3099068469954238
146,1.301858377263729
147,1.2856685508230026
148,1.2906085514552161
149,1.2993204858756262
150,1.3067915981698102
151,1.3162706792872476
152,1.3107162967012669
153,1.3191529530752575
154,1.3356761138472248
155,1.3187028117409771
156,1.3137825939159755
157,1.3334052861959707
158,1.3614164505346797
159,1.3660331655708005
160,1.3465780732929296
161,1.359971698567612
162,1.3525852429060683
163,1.338527078074436
164,1.3345253034538263
165,1.3230164983541697
166,1.3268098345560742
167,1.3295051105594407
168,1.3041712920718447
169,1.31020314989975
170,1.3245303202760947
171,1.33340044984949
172,1.3465475165805283
173,1.3439336825603307
174,1.3631095719713824
175,1.3710310003992359
176,1.3833036538619128
177,1.3904589324010832
178,1.3777314609752167
179,1.389604868830748
180,1.3885301318146512
181,1.387565926662289
182,1.4024501224928962
183,1.4086509907473048
184,1.4087915452489173
185,1.393433641433475
186,1.3755976401588912
187,1.393696672419772
