,Returns
0,1.0
1,1.0021767916660043
2,1.01248769048108
3,0.999648703481396
4,0.9885109530881557
5,1.0034205382658319
6,1.0448543787128814
7,1.0333361679695543
8,1.0249833733362084
9,1.0053795629651896
10,0.9930444664829738
11,1.0007807232813293
12,0.984555471762948
13,0.9747868867385626
14,0.986729082083126
15,0.9627591353024882
16,0.9652394994239452
17,0.9550664515932593
18,0.9329867403248211
19,0.9422723147691083
20,0.9422723147691083
21,0.9307467808566778
22,0.9397769747744033
23,0.9406461858573899
24,0.9426307993471903
25,0.9463878876021976
26,0.9358201659725841
27,0.9453145141299306
28,0.9650853329523787
29,0.9724597124194995
30,0.9742735949903847
31,0.9783385772719484
32,0.9745528789817836
33,0.979632126042301
34,0.998538071800551
35,0.9972512524172212
36,1.000091902015753
37,0.9709755509289858
38,0.9177642677575157
39,0.9030438905533807
40,0.9106846978223183
41,0.9079607113086309
42,0.9292005963684324
43,0.9308611346391311
44,0.9416721686400216
45,0.9512534793148185
46,0.9662194986228162
47,0.9379441692969959
48,0.9665490890441909
49,0.9592990373955645
50,0.9683598240046052
51,0.9722994674269737
52,0.9779102311026516
53,0.9758486724187218
54,0.9471455451112714
55,0.9592972864273034
56,0.947806277343089
57,0.9613413935325337
58,0.9694416636674583
59,0.9707002217741704
60,0.9382520163467203
61,0.9081275171906408
62,0.9355137723205519
63,0.9020464490531029
64,0.8790771842357799
65,0.8794095871297171
66,0.8884221349386272
67,0.8884221349386272
68,0.8884221349386272
69,0.8884221349386272
70,0.8884221349386272
71,0.9038494767403881
72,0.9290879306182285
73,0.9294979739445551
74,0.9294979739445551
75,0.9257766184813586
76,0.9378796616073718
77,0.9294626788233027
78,0.9310402555461234
79,0.9307478785441671
80,0.9314531900150007
81,0.9127363085955266
82,0.9135682760383028
83,0.9088748822658584
84,0.9295772162954516
85,0.9338340239393097
86,0.9311228304793294
87,0.9350438193932938
88,0.9477848551223752
89,0.9433312729441662
90,0.9565977188632243
91,0.96987660095227
92,0.9706107271731451
93,0.9689020849390751
94,0.9767266350799005
95,0.9748700129630385
96,0.9672041780056068
97,0.9604192515948651
98,0.9500057139915868
99,0.9180314244150365
100,0.9247138659115812
101,0.9333076298905039
102,0.9391365485000223
103,0.9168831719820789
104,0.915126067556449
105,0.9366889855938725
106,0.9594102613021249
107,0.9614456848051267
108,0.9639883624275182
109,0.954491621695728
110,0.942852900655666
111,0.9275721878792447
112,0.912052311768838
113,0.9052276059708341
114,0.9103383073510923
115,0.8827810034635352
116,0.8827810034635352
117,0.8727849802856449
118,0.8658770289481712
119,0.8894491823690306
120,0.9018834557398703
121,0.9211054613216113
122,0.9143841189806517
123,0.9235866155756808
124,0.9071321528574154
125,0.8982236209023429
126,0.8875531041301914
127,0.8983983919859033
128,0.9068788614052401
129,0.9099439985736533
130,0.912152325200926
131,0.9226994277168254
132,0.8959386538652678
133,0.9097875075222305
134,0.9035959544903317
135,0.9124295976947913
136,0.918593418349886
137,0.9235866337506481
138,0.9285414300731849
139,0.9405284157146556
140,0.9422527346500607
141,0.9407427533174642
142,0.9350687264801149
143,0.93817939570859
144,0.9295835908150635
145,0.9390372672815471
146,0.928046441991139
147,0.9241187435265713
148,0.9002881474112138
149,0.9102875412264689
150,0.898133507605345
151,0.8920407845563494
152,0.9035573671361268
153,0.9177179003187507
154,0.9171421433861233
155,0.9173996509792379
156,0.911391435803177
157,0.9024413907528419
158,0.904835061636386
159,0.9028947520663967
160,0.8981247403304243
161,0.9059253907488273
162,0.9059253907488273
163,0.8898649453077667
164,0.8702773343744241
165,0.8806787622462741
166,0.8907616947468108
167,0.896717281860557
168,0.902975861788173
169,0.9060400359657075
170,0.9093502130813232
171,0.9130229380153694
172,0.927620928937955
173,0.9437948613994434
174,0.9518632649380413
175,0.9642894708466305
176,0.9629794730586194
177,0.9760406639007998
178,0.9838154786970748
179,1.0036950869320664
180,1.0101362291522618
181,1.0081120860139612
182,1.0287286320807563
183,1.0333799459622346
184,1.0318325977419402
185,1.0251244474851247
186,1.0244794635500087
187,1.0231831813051608
188,1.027156930561383
189,1.0221615905288446
190,1.0216955512525476
191,1.0347621995729397
192,1.030540054785414
193,1.0139921931356866
194,1.0184477776143668
195,1.0239493567778541
196,1.0126618237148313
197,1.0118591683096028
198,1.0177538697297754
199,1.0261254053524231
200,1.0396724486821027
201,1.053973533297766
202,1.062023334673657
203,1.0598442253316533
204,1.06611485569837
205,1.0602879685646094
206,1.0654751395556639
207,1.0668216795621916
208,1.0672628045941654
209,1.0475993630748224
210,1.045347719489314
211,1.0396212812184007
212,1.0385253051198908
213,1.041773035367184
214,1.044663062899401
215,1.0589283722454401
216,1.059935342030349
217,1.0657411507813392
218,1.0524574325614573
219,1.0393023083764112
220,1.0147113076614385
221,1.0081065517089343
222,0.9944677307598503
223,0.9322541431492892
224,0.9530024807714876
225,0.9606079478300832
226,0.9684271476999412
227,0.9813069377343682
228,0.981216829858182
229,0.9952110399513558
230,1.0100240275935453
231,0.998301297214953
232,1.0034522553915377
233,1.0034880245781561
234,1.0062317185538647
235,0.9940288366178357
236,0.9908441691446348
237,1.004046763547887
238,1.015211702760061
239,1.0085154766813313
240,1.0144053921146678
241,1.0132969541338914
242,1.0132969541338914
243,1.013215163359705
244,0.9978489683534625
245,1.0044504212454572
246,1.0017740393590986
247,1.007376908565415
248,1.007376908565415
249,0.9911749633096766
250,0.9904280371273391
251,0.9788867146274014
252,0.9702579836083878
253,0.964421503915431
254,0.9486698231217954
255,0.9487227384189811
256,0.9231473647380187
257,0.9365919340102954
258,0.9262143533476208
259,0.9309656002996294
260,0.924402958017298
261,0.9265817460987659
262,0.9119489473884325
263,0.8926993081027704
264,0.89725691381671
265,0.9167822441545324
266,0.915673055212238
267,0.9299010736239159
268,0.9317070868723869
269,0.959019745455872
270,0.965718269580393
271,0.9641809074443873
272,0.9641809074443873
273,0.9641809074443873
274,0.9641809074443873
275,0.9921086783695424
276,1.0001985749004991
277,0.9896173265131571
278,0.9908480429452721
279,0.9755790065117969
280,0.9806624270871223
281,0.9958044145162624
282,1.0149604066009692
283,1.0127304775995645
284,1.0089572483088423
285,1.0093386700505176
286,1.0136304185285108
287,1.0195066590803088
288,1.0132515178296255
289,1.0268091919696751
290,1.0309597836244215
291,1.0533757572457367
292,1.0556313828509563
293,1.0460369199614052
294,1.042963798942931
295,1.0413400648087403
296,1.0369490700408024
297,1.007765296241831
298,1.030197216072673
299,1.0365628604315362
300,1.0135228868075248
301,1.0135228868075248
302,1.0273930385833028
303,1.0451463911674446
304,1.061411124015757
305,1.0663986101663865
306,1.0578968884587878
307,1.0669890815019833
308,1.0739500720825315
309,1.0674718558508982
310,1.0726280034829798
311,1.0753821264301051
312,1.0744577201732486
313,1.0684156062927719
314,1.07257228474788
315,1.0586841959903122
316,1.0525749210157143
317,1.060892258380274
318,1.0497978713233824
319,1.0639722912556886
320,1.074629088989952
321,1.074629088989952
322,1.074629088989952
323,1.074629088989952
324,1.0576048848570951
325,1.0596261752706235
326,1.061115450426588
327,1.0740359992750124
328,1.0627548630667822
329,1.0634554200721302
330,1.080700217713682
331,1.0858154509656612
332,1.0815904374255778
333,1.0809666538460678
334,1.0856544690728491
335,1.0856544690728491
336,1.1033575307359138
337,1.1082361481825571
338,1.1171489141730762
339,1.117937374278116
340,1.108185533974668
341,1.1168556842499329
342,1.1194208456337627
343,1.129160564275404
344,1.1276116802729808
345,1.1361241853391195
346,1.1327777320193304
347,1.1255902935758473
348,1.135332863581985
349,1.122474826444127
350,1.123399380505067
351,1.120783303272252
352,1.1383196203704158
353,1.146813236411242
354,1.1415908528985055
355,1.1664226638484108
356,1.1763769686939471
357,1.171082798605174
358,1.1688584182778488
359,1.162814289757902
360,1.170502473034356
361,1.1660073481245732
362,1.1608067613014572
363,1.1416964692458669
364,1.1333203580218594
365,1.1341270526354084
366,1.0799437138295078
367,1.1022225261300627
368,1.0874411832639448
369,1.0940215852782222
370,1.1301056895705948
371,1.1304572299397884
372,1.14197755443975
373,1.1637268647349404
374,1.1679585146266158
375,1.1691143225894858
376,1.171655873799351
377,1.1675189113504147
378,1.172034150006902
379,1.1730012975103137
380,1.18874291377662
381,1.1836916088379605
382,1.189228004510992
383,1.20756997053549
384,1.208674447861451
385,1.2109576622200862
386,1.2224116486941938
387,1.2365480968745186
388,1.2297823006033717
389,1.2510321974435905
390,1.2698555619623635
391,1.272675726982235
392,1.2650291543028325
393,1.2618520841912622
394,1.2544945574072501
395,1.241683217811604
396,1.2500256393929652
397,1.2457013012668026
398,1.2595929282987484
399,1.2661370417843236
400,1.288665862099078
401,1.2838306269883268
402,1.2939067109144302
403,1.3095556673289641
404,1.3116623883853262
405,1.3182963279322686
406,1.3049119433617422
407,1.31144277688376
408,1.326728439621308
409,1.324212357732095
410,1.342261580151392
411,1.3383245607573413
412,1.3338627079983376
413,1.3394970665382275
414,1.3526175962557352
415,1.365939049722114
416,1.381326882890945
417,1.3946341338833854
418,1.3941935509507348
419,1.3921052096391446
420,1.4037219542194015
421,1.4032154356807272
422,1.4234775299173208
