,Returns
0,0.9999999999999999
1,1.0122854943392325
2,1.0165461174952264
3,1.02439048522066
4,1.0405173498526266
5,1.0480277748818068
6,1.0431758712444148
7,1.0525694326340143
8,1.0266478777814234
9,1.0250021018156015
10,1.0329291068449062
11,1.01502812615162
12,1.0145612164998168
13,1.0021426705860255
14,0.9584764365920657
15,1.00338063254727
16,0.971844181236633
17,0.9840922275095555
18,1.0001388606873183
19,1.0074407173497406
20,1.0068259109671402
21,1.0251555623530182
22,1.0296487953591955
23,1.0286492426618232
24,1.0099898576238733
25,1.0184522418285484
26,1.0394523111869982
27,1.0405372845255771
28,1.031864635305382
29,1.0268274695070565
30,1.0309682264510205
31,1.0364653424836796
32,1.0409218431503418
33,1.021717675011075
34,1.0353552923664964
35,1.0341609799788432
36,1.058829913131156
37,1.0692473310197226
38,1.0680478554079837
39,1.060322055703124
40,1.0790729138512487
41,1.0768400321209446
42,1.0824970274027794
43,1.0881731284868612
44,1.0922540148653899
45,1.0891845337060242
46,1.0861126982107367
47,1.0710794560210912
48,1.0552827081292893
49,1.0523449312372668
50,1.0483451220371962
51,1.0659815861925814
52,1.0629202178870074
53,1.0629202178870074
54,1.0707652481625138
55,1.075726908221757
56,1.0775000470808849
57,1.0997408996310976
58,1.1009789735893116
59,1.1059727949308273
60,1.101102474716113
61,1.1030205892499814
62,1.1078908508075616
63,1.1073823963658187
64,1.1112824416722413
65,1.106097845768995
66,1.090395188685607
67,1.09185314199115
68,1.1017563967582715
69,1.081660087328266
70,1.0603003790723806
71,1.0611068648934259
72,1.051068287792158
73,1.0443634253453618
74,1.0484005865963892
75,1.0514424673764113
76,1.0522977829143667
77,1.056533883317651
78,1.0582117887267517
79,1.0193347174048566
80,0.99918297825529
81,1.0003829589846855
82,1.0218462533397878
83,1.0283776018309787
84,1.043416182070109
85,1.0356536874723672
86,1.0530399516948703
87,1.0576103545409552
88,1.0535991945615415
89,1.0471394740138753
90,1.032941933788365
91,1.026326550314358
92,1.0273192295997036
93,1.0317546210993722
94,1.0400965622053568
95,1.0439348910972002
96,1.0391253301970371
97,1.0428219065229716
98,1.0520551897448878
99,1.095947516369927
100,1.10713433275086
101,1.1114733522035107
102,1.1111990324166396
103,1.104302689609236
104,1.0999011853173015
105,1.106028523457855
106,1.10290183566553
107,1.101783844916483
108,1.0895010498535425
109,1.0920402793766932
110,1.0949323583399546
111,1.0823113714456662
112,1.0807092066457238
113,1.0809345108949764
114,1.0945201168901
115,1.0961130359522087
116,1.0975755361404984
117,1.103959400438919
118,1.1074213372289734
119,1.1029952807356556
120,1.103095658981587
121,1.1112855763128715
122,1.1097886627295117
123,1.102946253035428
124,1.1045417311380732
125,1.1078053783152089
126,1.1038241801456454
127,1.0923907979152168
128,1.089280461192471
129,1.0931541881209166
130,1.096156605912885
131,1.098788893102518
132,1.0938975957127115
133,1.0667553183911112
134,1.0696810756258077
135,1.083011135983368
136,1.089192959650659
137,1.095051546634014
138,1.07327622973847
139,1.0726086998443833
