,Returns
0,1.0000000000000002
1,0.9955170907732904
2,1.024812205582617
3,1.0249510856685222
4,0.9649378715922637
5,0.9893349710254841
6,0.9975755504520172
7,1.0011478344251485
8,0.9544442413553099
9,1.058492297198973
10,1.0682523608805639
11,1.0642173955188217
12,1.0363438035994992
13,1.0332524371777554
14,1.0505780021955093
15,1.0482301683527724
16,1.0526617031536332
17,1.0503019443075483
18,1.0294129392029718
19,1.0266628577204704
20,1.0313392771939123
21,1.056734014301918
22,1.097029771191749
23,1.1001536221230053
24,1.1006103317436067
25,1.086125601597201
26,1.0764759620522806
27,1.0629024367537696
28,1.0438937100125176
29,0.9950856992341134
30,0.9696882426779293
31,0.9814723701634502
32,0.9681401965995585
33,0.9414356331804814
34,0.9388586182209844
35,0.928386920277245
36,0.9213516373168937
37,0.9598571589403674
38,0.9576806272655153
39,1.0075433138231318
40,0.9788836164951951
41,0.9677837118508612
42,0.9492575650504913
43,0.9678079231946269
44,0.9965464869544342
45,0.9938991778213074
46,1.0237259383093944
47,1.0322575408347756
48,0.9951051182013574
49,0.9969212418614657
50,0.9722195214598152
51,0.9803057889986168
52,0.9642239196157222
53,0.9289157729968492
54,0.9257417276222089
55,0.9278102990999099
56,0.8788966561266567
57,0.8597501335295801
58,0.857579100627154
59,0.8808791723454448
60,0.8624255613463987
61,0.8216108204739991
62,0.8126474101410559
63,0.8517118049658524
64,0.8089947976561158
65,0.7912186238365638
66,0.7869236571885604
67,0.8377734961100272
68,0.8535136445778415
69,0.8662640524782695
70,0.8668343612700328
71,0.8927895222969375
72,0.8843661893223659
73,0.8876953153602062
74,0.8961306033951089
75,0.8995883948455409
76,0.9319864487472421
77,0.9316313868212834
78,0.9425220457649244
79,0.9476750495876615
80,0.9331763248057084
81,0.8858631649275328
82,0.9132332482471007
83,0.9306812264662893
84,0.9889105034921174
85,0.9850215467412357
86,0.9761911230203314
87,0.9639387087280389
88,0.9739683563512087
89,1.0069240221316293
90,1.0228721390361797
91,1.0161249243943395
92,1.0330348503967752
93,1.054574428862829
94,1.0109644460852094
95,1.011338839491513
96,1.032247663539293
97,1.0250497527840374
98,1.0495264763027357
99,1.0499809535971603
100,1.0305083101075239
101,1.0547204031156565
102,1.075913291056033
103,1.1019317480094895
104,1.1139637538408653
105,1.0958815885283768
106,1.1198814437995255
107,1.1033790242777806
108,1.09842173144622
109,1.064894102503856
110,1.066737173117717
111,1.073216677422726
112,1.1014325275236145
113,1.1215895075761555
114,1.1351385283896922
115,1.1107286665226586
116,1.1255423924931736
117,1.1329222845343039
118,1.1151649230163818
119,1.114322401666603
120,1.1560844183163637
121,1.1590030881899935
122,1.1366897325336156
123,1.1373081270532117
124,1.1461873059732866
125,1.1287561677429683
126,1.1346617231071283
127,1.1483128422834985
128,1.1576587077165519
129,1.152779466983887
130,1.1156568143202268
131,1.1125288276131557
132,1.0920120033836935
133,1.1036321750842182
134,1.0815665444827092
135,1.0771292016627003
136,1.1083102688761683
137,1.102600588570011
138,1.0989332295621295
139,1.1204371739430958
140,1.1044545538884325
141,1.1294272537477654
142,1.094663658594016
143,1.0982466270884186
144,1.0807094884458577
145,1.0737271704282307
146,1.0616963117678635
147,1.0723245895065152
148,1.0598750337783185
149,1.0886522252351596
150,1.1041796879413062
151,1.1397136850546405
152,1.1446905238739176
153,1.1491041362690506
154,1.16453959501295
155,1.1754225738974455
156,1.1791537013694575
157,1.2050551858367011
158,1.2057508260464367
159,1.2101037851465062
160,1.1946298845544467
161,1.207563802744952
162,1.231944545053381
163,1.2300187524760047
164,1.2470476923963785
165,1.2449457634685064
166,1.232168498777137
167,1.2385197672203017
168,1.2579727974537571
169,1.2550470127685207
170,1.2356287654327909
171,1.2510150384389143
172,1.2617244968585157
173,1.2450901886819739
174,1.2176934418454974
175,1.2294914965669261
176,1.2247193820565043
177,1.2431748900299466
178,1.2799691366359451
179,1.295960312164031
180,1.3059193628344623
181,1.3000129131718707
182,1.291654106158123
183,1.3056011353423091
184,1.266868597930803
185,1.2565966676968119
186,1.2550441807933386
187,1.2753949670344273
188,1.2950875691636037
189,1.2982310081761947
190,1.3172305027718385
191,1.3162778427473043
192,1.3258242371713642
193,1.3248993894346872
194,1.3293653517600459
195,1.351102748180658
196,1.3580472863723114
197,1.3528285769281752
